"City","Lat","Lon","Month","MonthHeat","MonthCold","MonthWater","MonthElec","MonthSolar"
"Abidjan",5.33,"-4.03","January","0","1332.647551240689",106.70226496859068,366.5784789527454,750.4996395842023
"Abidjan",5.33,"-4.03","February","0","1367.1754414050258",106.07410826775303,367.8376081112787,784.289065981819
"Abidjan",5.33,"-4.03","March","0","1394.1727271947502",105.40894526549958,368.2487388674285,799.6811162650273
"Abidjan",5.33,"-4.03","April","0","1386.8141366901255",105.75477409146438,367.0241640095285,816.3638747151439
"Abidjan",5.33,"-4.03","May","0","1251.8771498706644",107.74320482095612,372.0052395030162,607.0294302261602
"Abidjan",5.33,"-4.03","June","0","1086.329553460803",110.6901899338508,366.4545907916841,421.5131298420516
"Abidjan",5.33,"-4.03","July","0","1020.8441768795997",112.6418975120161,369.89834507333484,454.64274518001656
"Abidjan",5.33,"-4.03","August","0","968.1385993049824",113.84422483920645,365.995970780146,440.07535548552136
"Abidjan",5.33,"-4.03","September","0","1034.3589068827087",112.70248715778558,367.11934651983415,508.883418619105
"Abidjan",5.33,"-4.03","October","0","1137.7010795685962",110.56011498037742,372.4931057138281,599.3462298026269
"Abidjan",5.33,"-4.03","November","0","1240.9798840749563",108.45539941219818,369.0384775280964,653.3262117321924
"Abidjan",5.33,"-4.03","December","0","1293.093740239001",107.22349485397878,372.7905530451311,660.6946842941584
"Addis Ababa",9.0358287,"38.7524127","January","8.993663166950366","415.0695440033011",138.13488456280038,392.0138401892434,841.5060271250226
"Addis Ababa",9.0358287,"38.7524127","February","3.1201172069963503","505.99528357281235",134.72044767586797,392.6159459280776,959.1738597172604
"Addis Ababa",9.0358287,"38.7524127","March","0.6177867523517434","526.620172885548",132.7668737427209,392.42367052199603,933.2807059086895
"Addis Ababa",9.0358287,"38.7524127","April","0.10931466112721432","503.24023785439095",132.19688665914228,392.3042775858146,825.7327255085107
"Addis Ababa",9.0358287,"38.7524127","May","0.","434.85091927351846",133.47085852746298,397.42842174754367,732.0979049510589
"Addis Ababa",9.0358287,"38.7524127","June","0.0007216795417834695","341.7005125985074",136.5686269340732,391.57437688643296,636.6009621054029
"Addis Ababa",9.0358287,"38.7524127","July","0.","232.6304829231259",139.32105878890053,395.06840623098856,487.6296339164123
"Addis Ababa",9.0358287,"38.7524127","August","0.0007091963675639992","237.34508415296858",139.48319501487416,390.48669325470286,512.8817616495039
"Addis Ababa",9.0358287,"38.7524127","September","0.08328036715587718","282.7333882063901",139.0219655553048,394.3801543089184,609.1202412356769
"Addis Ababa",9.0358287,"38.7524127","October","11.233343280463219","379.64709265695507",139.78984586774507,398.5970748828811,861.0936308128386
"Addis Ababa",9.0358287,"38.7524127","November","13.726362656594961","397.22449948157447",139.0560614796348,394.5711961679834,863.31844477739
"Addis Ababa",9.0358287,"38.7524127","December","17.4156454368946","372.04126506172963",140.29984926957616,399.21748018832403,822.9109793865023
"Ahmedabad",23.03,"72.58","January","0.","638.3576554070901",124.90496042026031,418.0179953034595,568.5393772783523
"Ahmedabad",23.03,"72.58","February","0.020312589920407128","924.2403486479932",117.54098641224246,418.0674665867998,732.2500401210418
"Ahmedabad",23.03,"72.58","March","0.","1425.244426004852",105.67852573582205,415.8613771163555,947.0989566493099
"Ahmedabad",23.03,"72.58","April","0.","1906.5868495425857",94.62171942127314,414.77995184706674,1074.7222186133554
"Ahmedabad",23.03,"72.58","May","0.","2088.1682767820225",90.1337783083552,418.5437321776087,1058.5027927674828
"Ahmedabad",23.03,"72.58","June","0.","1877.9684063353247",93.2628290425072,413.36235355054686,671.8548740938737
"Ahmedabad",23.03,"72.58","July","0.","1401.4297965779942",102.23510435447774,420.3594150746521,297.03257264795735
"Ahmedabad",23.03,"72.58","August","0.","1300.8641109699684",104.90478049330785,415.49213270374696,317.77161536485477
"Ahmedabad",23.03,"72.58","September","0.","1369.9515245231198",104.33274485800895,418.07932936818503,495.5408581019312
"Ahmedabad",23.03,"72.58","October","0.","1419.1819525790108",104.30290207130557,423.8765397768908,690.1649992452033
"Ahmedabad",23.03,"72.58","November","0.","1091.8569924489107",111.64189140390755,420.8820014333889,560.5760089761251
"Ahmedabad",23.03,"72.58","December","0.","721.9541585379446",121.47474911765045,425.32215620225355,491.71924049178983
"Alexandria",31.22,"29.95","January","0.04130605240967094","136.86721132102994",139.89782430878847,391.40351798560624,278.2190740011041
"Alexandria",31.22,"29.95","February","0.14507771980679168","202.57784835063964",139.31322011197216,390.58255781841694,432.14760922719597
"Alexandria",31.22,"29.95","March","0.1057019132310353","367.8166217219797",134.7708552940061,387.9427162444108,722.583208834691
"Alexandria",31.22,"29.95","April","0.","574.7761667086253",128.63642976903358,385.5109016245617,982.3505646899357
"Alexandria",31.22,"29.95","May","0.","859.1077539213603",120.76186640422954,387.8255437245409,1097.0244753601228
"Alexandria",31.22,"29.95","June","0.","1229.1526500901014",112.45741149468398,380.60780479446726,1239.62116607881
"Alexandria",31.22,"29.95","July","0.","1411.0568564611456",107.67972295584737,385.09689410228106,1194.5626222922888
"Alexandria",31.22,"29.95","August","0.","1457.3958494585122",105.72396875184123,383.1334378716912,1071.3277491944211
"Alexandria",31.22,"29.95","September","0.","1281.1686531068883",108.8784292050886,386.85077465648135,876.5492610992441
"Alexandria",31.22,"29.95","October","0.","892.4709434629673",116.46815058059573,395.5493506470844,567.6425044712015
"Alexandria",31.22,"29.95","November","0.","475.24588687932777",125.88729674028741,393.1522904918515,352.03504503211644
"Alexandria",31.22,"29.95","December","0.1115081214290233","200.87820036514037",134.97335138477638,398.26028605506855,244.65609356859102
